filename,snr,siib_score_gaussian
ALL_049_F_ENG_ENG_HT1_S019,n2,52.908108498135476
ALL_049_F_ENG_ENG_HT1_S020,6,77.8233426716913
ALL_049_F_ENG_ENG_HT1_S020,2,53.48632603779876
ALL_049_F_ENG_ENG_HT1_S020,8,92.53689836399965
ALL_049_F_ENG_ENG_HT1_S020,4,64.772736397071
ALL_049_F_ENG_ENG_HT1_S019,n4,42.738722458619776
ALL_049_F_ENG_ENG_HT1_S020,0,43.82307970163538
ALL_049_F_ENG_ENG_HT1_S020,n2,35.45519262417427
ALL_049_F_ENG_ENG_HT1_S020,n4,28.12267557348018
ALL_049_F_ENG_ENG_HT1_S021,0,55.112322841082836
ALL_049_F_ENG_ENG_HT1_S021,2,65.20453835009371
ALL_049_F_ENG_ENG_HT1_S021,4,76.59747154063533
ALL_049_F_ENG_ENG_HT1_S021,8,103.4305382142286
ALL_049_F_ENG_ENG_HT1_S021,6,89.4072659731124
ALL_049_F_ENG_ENG_HT1_S021,n2,46.19352040933192
ALL_049_F_ENG_ENG_HT1_S022,2,53.91864446705826
ALL_049_F_ENG_ENG_HT1_S021,n4,38.37923336368916
ALL_049_F_ENG_ENG_HT1_S022,0,44.65414639695797
ALL_049_F_ENG_ENG_HT1_S022,4,64.22607915815479
ALL_049_F_ENG_ENG_HT1_S022,8,88.54292905828973
ALL_049_F_ENG_ENG_HT1_S022,6,75.75203669064913
ALL_049_F_ENG_ENG_HT1_S022,n2,36.32329274012499
ALL_049_F_ENG_ENG_HT1_S022,n4,28.94260846869526
ALL_049_F_ENG_ENG_HT1_S023,0,41.402828951409305
ALL_049_F_ENG_ENG_HT1_S023,4,64.20976797248952
ALL_049_F_ENG_ENG_HT1_S023,2,52.210398894768105
ALL_049_F_ENG_ENG_HT1_S023,6,77.10851850832017
ALL_049_F_ENG_ENG_HT1_S023,n2,32.28315558261998
ALL_049_F_ENG_ENG_HT1_S024,0,55.80087139982502
ALL_049_F_ENG_ENG_HT1_S023,8,90.91385057513345
ALL_049_F_ENG_ENG_HT1_S023,n4,25.121587237095117
ALL_049_F_ENG_ENG_HT1_S024,4,78.95600028106671
ALL_049_F_ENG_ENG_HT1_S024,8,105.41948491111846
ALL_049_F_ENG_ENG_HT1_S024,n2,45.71671848619894
ALL_049_F_ENG_ENG_HT1_S024,2,66.92228079289146
ALL_049_F_ENG_ENG_HT1_S024,6,91.71247864021981
ALL_049_F_ENG_ENG_HT1_S025,0,43.916889093747386
ALL_049_F_ENG_ENG_HT1_S024,n4,36.623309258144836
ALL_049_F_ENG_ENG_HT1_S025,2,54.28751156510564
ALL_049_F_ENG_ENG_HT1_S025,4,65.94257022715287
ALL_049_F_ENG_ENG_HT1_S025,8,92.85624327412822
ALL_049_F_ENG_ENG_HT1_S025,n2,34.92107952500955
ALL_049_F_ENG_ENG_HT1_S025,n4,27.34810451910984
ALL_049_F_ENG_ENG_HT1_S026,0,44.74478096554148
ALL_049_F_ENG_ENG_HT1_S026,4,66.26308590222754
ALL_049_F_ENG_ENG_HT1_S026,2,55.04001947832248
ALL_049_F_ENG_ENG_HT1_S025,6,78.80608921219341
ALL_049_F_ENG_ENG_HT1_S026,8,90.85072406247816
ALL_049_F_ENG_ENG_HT1_S026,6,78.23643526713977
ALL_049_F_ENG_ENG_HT1_S026,n2,35.60443814346769
ALL_049_F_ENG_ENG_HT1_S026,n4,28.036827481823074
ALL_049_F_ENG_ENG_HT1_S027,2,49.45551347958987
ALL_049_F_ENG_ENG_HT1_S027,0,41.891774519564706
ALL_049_F_ENG_ENG_HT1_S027,4,58.30226847337269
ALL_049_F_ENG_ENG_HT1_S027,6,68.56237999518882
ALL_049_F_ENG_ENG_HT1_S027,8,80.33634989442184
ALL_049_F_ENG_ENG_HT1_S027,n2,35.42976816312659
ALL_049_F_ENG_ENG_HT1_S028,0,45.01562372205786
ALL_049_F_ENG_ENG_HT1_S027,n4,29.853526072076537
ALL_049_F_ENG_ENG_HT1_S028,8,92.2190200061785
ALL_049_F_ENG_ENG_HT1_S028,4,66.51984467847885
ALL_049_F_ENG_ENG_HT1_S028,6,78.8664535333604
ALL_049_F_ENG_ENG_HT1_S028,n2,36.335736312118456
ALL_049_F_ENG_ENG_HT1_S028,n4,29.05384000728147
ALL_049_F_ENG_ENG_HT1_S028,2,55.13200721062718
ALL_049_F_ENG_ENG_HT1_S029,0,40.346667967042066
ALL_049_F_ENG_ENG_HT1_S029,2,49.37646903497358
ALL_049_F_ENG_ENG_HT1_S029,4,59.942265388911466
ALL_049_F_ENG_ENG_HT1_S029,6,72.22590569576165
ALL_049_F_ENG_ENG_HT1_S029,8,86.49041401632884
ALL_049_F_ENG_ENG_HT1_S029,n2,32.70184384574131
ALL_049_F_ENG_ENG_HT1_S029,n4,26.286815736788185
ALL_049_F_ENG_ENG_HT1_S030,6,91.2337338812459
ALL_049_F_ENG_ENG_HT1_S030,0,54.1772174167659
ALL_049_F_ENG_ENG_HT1_S030,2,65.32744115579257
ALL_049_F_ENG_ENG_HT1_S030,4,77.67704538462189
ALL_049_F_ENG_ENG_HT1_S030,8,105.92581002190902
ALL_049_F_ENG_ENG_HT1_S030,n4,36.18935867400251
ALL_049_F_ENG_ENG_HT1_S030,n2,44.34742549544422
ALL_049_F_ENG_ENG_HT1_S031,0,43.268403610796085
ALL_049_F_ENG_ENG_HT1_S031,4,59.31919358391326
ALL_049_F_ENG_ENG_HT1_S031,2,50.80333288344168
ALL_049_F_ENG_ENG_HT1_S031,8,80.25814293367324
ALL_049_F_ENG_ENG_HT1_S031,n2,36.45343558039255
ALL_049_F_ENG_ENG_HT1_S032,0,49.84177987558986
ALL_049_F_ENG_ENG_HT1_S031,n4,30.141143191477145
ALL_049_F_ENG_ENG_HT1_S031,6,69.10129356318609
ALL_049_F_ENG_ENG_HT1_S032,4,70.82597337123431
ALL_049_F_ENG_ENG_HT1_S032,2,59.39434944364553
ALL_049_F_ENG_ENG_HT1_S032,8,99.1891725991
ALL_049_F_ENG_ENG_HT1_S032,n2,41.57129092813692
ALL_049_F_ENG_ENG_HT1_S032,6,84.44309257607554
ALL_049_F_ENG_ENG_HT1_S032,n4,34.39439456980685
ALL_049_F_ENG_ENG_HT1_S033,4,63.15849807241112
ALL_049_F_ENG_ENG_HT1_S033,2,53.05171426192723
ALL_049_F_ENG_ENG_HT1_S033,6,74.62764659458566
ALL_049_F_ENG_ENG_HT1_S033,8,87.58145921410474
ALL_049_F_ENG_ENG_HT1_S033,n2,36.64128010288188
ALL_049_F_ENG_ENG_HT1_S033,0,44.20309406743037
ALL_049_F_ENG_ENG_HT1_S034,2,54.77089853147787
ALL_049_F_ENG_ENG_HT1_S033,n4,30.33130335836234
ALL_049_F_ENG_ENG_HT1_S034,0,46.01170030825588
ALL_049_F_ENG_ENG_HT1_S034,4,64.52660320068978
ALL_049_F_ENG_ENG_HT1_S034,6,75.36548783626006
ALL_049_F_ENG_ENG_HT1_S034,n2,38.14279654194579
ALL_049_F_ENG_ENG_HT1_S034,8,87.52886261474859
ALL_049_F_ENG_ENG_HT1_S034,n4,31.02884997720262
ALL_049_F_ENG_ENG_HT1_S035,2,50.133764479809145
ALL_049_F_ENG_ENG_HT1_S035,4,61.781600498334214
ALL_049_F_ENG_ENG_HT1_S035,6,75.20680260223557
ALL_049_F_ENG_ENG_HT1_S035,0,40.078050391080026
ALL_049_F_ENG_ENG_HT1_S035,n2,31.602511457753558
ALL_049_F_ENG_ENG_HT1_S035,8,90.64499412111837
ALL_049_F_ENG_ENG_HT1_S035,n4,24.740065628232635
ALL_049_F_ENG_ENG_HT1_S036,8,71.54054610034106
ALL_049_F_ENG_ENG_HT1_S036,0,34.37254649612724
ALL_049_F_ENG_ENG_HT1_S036,2,41.98387835009408
ALL_049_F_ENG_ENG_HT1_S036,6,60.5249154797962
ALL_049_F_ENG_ENG_HT1_S036,n2,27.88379694689239
