filename,snr,siib_score
ALL_049_F_ENG_ENG_HT1_S041,n4,203.5562027696881
ALL_049_F_ENG_ENG_HT1_S042,8,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S042,6,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S043,0,201.7829505366371
ALL_049_F_ENG_ENG_HT1_S042,n4,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S042,n2,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S043,2,209.5623999422045
ALL_049_F_ENG_ENG_HT1_S043,4,217.8512045943039
ALL_049_F_ENG_ENG_HT1_S043,6,225.64996900114772
ALL_049_F_ENG_ENG_HT1_S043,n2,192.24453231103308
ALL_049_F_ENG_ENG_HT1_S043,8,237.61167859353185
ALL_049_F_ENG_ENG_HT1_S044,2,1335.6174067699908
ALL_049_F_ENG_ENG_HT1_S043,n4,188.87043842402358
ALL_049_F_ENG_ENG_HT1_S044,0,1335.6407951099927
ALL_049_F_ENG_ENG_HT1_S044,4,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S044,8,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S044,n2,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S044,6,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S044,n4,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S045,2,341.6100135525381
ALL_049_F_ENG_ENG_HT1_S045,0,332.25265838652797
ALL_049_F_ENG_ENG_HT1_S045,6,367.3325634717106
ALL_049_F_ENG_ENG_HT1_S045,4,355.1798729265836
ALL_049_F_ENG_ENG_HT1_S045,n2,325.09483000327106
ALL_049_F_ENG_ENG_HT1_S045,n4,317.3108481036692
ALL_049_F_ENG_ENG_HT1_S046,0,255.11200346172586
ALL_049_F_ENG_ENG_HT1_S045,8,380.8583782275169
ALL_049_F_ENG_ENG_HT1_S046,2,267.0690759790597
ALL_049_F_ENG_ENG_HT1_S046,6,294.0119743729498
ALL_049_F_ENG_ENG_HT1_S046,4,279.7682385543077
ALL_049_F_ENG_ENG_HT1_S046,n4,231.9493767055565
ALL_049_F_ENG_ENG_HT1_S046,n2,243.785167368196
ALL_049_F_ENG_ENG_HT1_S047,4,257.2369479743344
ALL_049_F_ENG_ENG_HT1_S046,8,309.7275774393791
ALL_049_F_ENG_ENG_HT1_S047,2,246.25683227539383
ALL_049_F_ENG_ENG_HT1_S047,0,237.25565052623202
ALL_049_F_ENG_ENG_HT1_S047,6,270.9314123539888
ALL_049_F_ENG_ENG_HT1_S047,n4,222.9711739907174
ALL_049_F_ENG_ENG_HT1_S047,8,281.51351450167635
ALL_049_F_ENG_ENG_HT1_S048,0,375.0232281070321
ALL_049_F_ENG_ENG_HT1_S047,n2,228.1529147445686
ALL_049_F_ENG_ENG_HT1_S048,4,394.59072420490327
ALL_049_F_ENG_ENG_HT1_S048,2,384.2931574229408
ALL_049_F_ENG_ENG_HT1_S048,n2,366.6557477491279
ALL_049_F_ENG_ENG_HT1_S048,8,410.1978698889426
ALL_049_F_ENG_ENG_HT1_S049,0,213.23666300239296
ALL_049_F_ENG_ENG_HT1_S048,6,401.6965947237976
ALL_049_F_ENG_ENG_HT1_S049,2,225.7998393525618
ALL_049_F_ENG_ENG_HT1_S049,6,251.4019915277109
ALL_049_F_ENG_ENG_HT1_S048,n4,359.9687846846688
ALL_049_F_ENG_ENG_HT1_S049,4,237.72605090387825
ALL_049_F_ENG_ENG_HT1_S050,0,235.38267873656486
ALL_049_F_ENG_ENG_HT1_S049,8,267.9724250473571
ALL_049_F_ENG_ENG_HT1_S050,2,247.21222741407567
ALL_049_F_ENG_ENG_HT1_S049,n4,196.36259984506017
ALL_049_F_ENG_ENG_HT1_S050,4,259.9044984233595
ALL_049_F_ENG_ENG_HT1_S049,n2,202.27599791318815
ALL_049_F_ENG_ENG_HT1_S050,6,271.55245151066964
ALL_049_F_ENG_ENG_HT1_S050,8,285.2123042056711
ALL_049_F_ENG_ENG_HT1_S050,n4,220.53705080554266
ALL_049_F_ENG_ENG_HT1_S050,n2,226.3467843027037
ALL_049_F_ENG_ENG_HT1_S051,0,239.85965909492927
ALL_049_F_ENG_ENG_HT1_S051,6,281.93576949304327
ALL_049_F_ENG_ENG_HT1_S051,4,267.09340472211346
ALL_049_F_ENG_ENG_HT1_S051,2,252.30189809834638
ALL_049_F_ENG_ENG_HT1_S051,8,298.9509596313824
ALL_049_F_ENG_ENG_HT1_S051,n2,231.19219201068975
ALL_049_F_ENG_ENG_HT1_S051,n4,222.6809221523853
ALL_049_F_ENG_ENG_HT1_S052,6,1335.383783101905
ALL_049_F_ENG_ENG_HT1_S052,0,1334.980912190884
ALL_049_F_ENG_ENG_HT1_S052,2,1335.5926143886181
ALL_049_F_ENG_ENG_HT1_S052,8,1335.7374039681279
ALL_049_F_ENG_ENG_HT1_S052,4,1335.0388456758892
ALL_049_F_ENG_ENG_HT1_S052,n2,1335.3576904386068
ALL_049_F_ENG_ENG_HT1_S052,n4,1335.2611962837896
ALL_049_F_ENG_ENG_HT1_S053,0,208.47613066770091
ALL_049_F_ENG_ENG_HT1_S053,2,218.14271656397298
ALL_049_F_ENG_ENG_HT1_S053,4,229.0006974577931
ALL_049_F_ENG_ENG_HT1_S053,6,247.8388356457873
ALL_049_F_ENG_ENG_HT1_S053,8,269.1359987110534
ALL_049_F_ENG_ENG_HT1_S053,n4,192.55383707365945
ALL_049_F_ENG_ENG_HT1_S053,n2,201.5763610190585
ALL_049_F_ENG_ENG_HT1_S054,4,234.31107942642544
ALL_049_F_ENG_ENG_HT1_S054,2,223.97787183079612
ALL_049_F_ENG_ENG_HT1_S054,6,242.57233315012675
ALL_049_F_ENG_ENG_HT1_S054,0,219.44866715776755
ALL_049_F_ENG_ENG_HT1_S054,8,252.39631567001564
ALL_049_F_ENG_ENG_HT1_S054,n2,215.55947260040557
ALL_049_F_ENG_ENG_HT1_S054,n4,211.25467533052176
ALL_049_F_ENG_ENG_HT1_S055,0,460.7050689324542
ALL_049_F_ENG_ENG_HT1_S055,4,457.56098164792576
ALL_049_F_ENG_ENG_HT1_S055,2,457.1254542339484
ALL_049_F_ENG_ENG_HT1_S055,8,459.1578880511828
ALL_049_F_ENG_ENG_HT1_S055,6,459.0837254916115
ALL_049_F_ENG_ENG_HT1_S055,n4,459.1574435498061
ALL_049_F_ENG_ENG_HT1_S056,0,213.75359764882324
ALL_049_F_ENG_ENG_HT1_S055,n2,461.05973715579705
ALL_049_F_ENG_ENG_HT1_S056,2,225.0306636165598
ALL_049_F_ENG_ENG_HT1_S056,4,233.2525868812659
ALL_049_F_ENG_ENG_HT1_S056,8,259.4510118435752
ALL_049_F_ENG_ENG_HT1_S056,n2,205.65430057379302
ALL_049_F_ENG_ENG_HT1_S056,n4,201.60582556929677
ALL_049_F_ENG_ENG_HT1_S057,0,338.13907401566496
ALL_049_F_ENG_ENG_HT1_S056,6,245.7179089853662
ALL_049_F_ENG_ENG_HT1_S057,2,340.0904869448118
ALL_049_F_ENG_ENG_HT1_S057,4,346.874072315115
ALL_049_F_ENG_ENG_HT1_S057,6,353.8564630755201
ALL_049_F_ENG_ENG_HT1_S057,n2,331.7593466166654
ALL_049_F_ENG_ENG_HT1_S057,n4,326.92511595464396
ALL_049_F_ENG_ENG_HT1_S058,0,219.29401103724473
ALL_049_F_ENG_ENG_HT1_S057,8,361.6862002050358
ALL_049_F_ENG_ENG_HT1_S058,2,235.37850616187598
ALL_049_F_ENG_ENG_HT1_S058,8,283.69131399682874
ALL_049_F_ENG_ENG_HT1_S058,4,250.28487045082457
ALL_049_F_ENG_ENG_HT1_S058,6,266.23288201803257
ALL_049_F_ENG_ENG_HT1_S058,n2,212.05403679432322
ALL_049_F_ENG_ENG_HT1_S059,0,236.17543606285534
ALL_049_F_ENG_ENG_HT1_S058,n4,204.57495108039794
ALL_049_F_ENG_ENG_HT1_S059,2,247.5191266182966
ALL_049_F_ENG_ENG_HT1_S059,8,289.9498147905131
ALL_049_F_ENG_ENG_HT1_S059,4,262.18928535397504
ALL_049_F_ENG_ENG_HT1_S059,6,277.5825361883312
ALL_049_F_ENG_ENG_HT1_S059,n2,227.17835057310202
ALL_049_F_ENG_ENG_HT1_S060,0,340.37472988779433
ALL_049_F_ENG_ENG_HT1_S059,n4,220.79788831474607
ALL_049_F_ENG_ENG_HT1_S060,2,347.2234863710499
ALL_049_F_ENG_ENG_HT1_S060,n4,328.0615066319766
ALL_049_F_ENG_ENG_HT1_S060,n2,334.40768116750087
ALL_049_F_ENG_ENG_HT1_S060,4,360.16174559263527
